dis=0, v=0, a_actual=200, time_point=0
dis=0.0709359, v=1.275, a_actual=-200, time_point=0.051125
dis=0.0710152, v=1.2625, a_actual=-200, time_point=0.0511875
dis=0.0710938, v=1.25, a_actual=-200, time_point=0.05125
dis=0.0711715, v=1.2375, a_actual=-200, time_point=0.0513125
dis=0.0712484, v=1.225, a_actual=-200, time_point=0.051375
dis=0.0713246, v=1.2125, a_actual=-200, time_point=0.0514375
dis=0.0714, v=1.2, a_actual=-200, time_point=0.0515
dis=0.0714746, v=1.1875, a_actual=-200, time_point=0.0515625
dis=0.0715484, v=1.175, a_actual=-200, time_point=0.051625
dis=0.0716215, v=1.1625, a_actual=-200, time_point=0.0516875
dis=0.0716938, v=1.15, a_actual=-200, time_point=0.05175
dis=0.0717652, v=1.1375, a_actual=-200, time_point=0.0518125
dis=0.0718359, v=1.125, a_actual=-200, time_point=0.051875
dis=0.0719059, v=1.1125, a_actual=-200, time_point=0.0519375
dis=0.071975, v=1.1, a_actual=-200, time_point=0.052
dis=0.0720434, v=1.0875, a_actual=-200, time_point=0.0520625
dis=0.0721109, v=1.075, a_actual=-200, time_point=0.052125
dis=0.0721777, v=1.0625, a_actual=-200, time_point=0.0521875
dis=0.0722438, v=1.05, a_actual=-200, time_point=0.05225
dis=0.072309, v=1.0375, a_actual=-200, time_point=0.0523125
dis=0.0723734, v=1.025, a_actual=-200, time_point=0.052375
dis=0.0724371, v=1.0125, a_actual=-200, time_point=0.0524375
dis=0.0725, v=1, a_actual=-200, time_point=0.0525
dis=0.0725621, v=0.9875, a_actual=-200, time_point=0.0525625
dis=0.0726234, v=0.975, a_actual=-200, time_point=0.052625
dis=0.072684, v=0.9625, a_actual=-200, time_point=0.0526875
dis=0.0727438, v=0.95, a_actual=-200, time_point=0.05275
dis=0.0728027, v=0.9375, a_actual=-200, time_point=0.0528125
dis=0.0728609, v=0.925, a_actual=-200, time_point=0.052875
dis=0.0729184, v=0.9125, a_actual=-200, time_point=0.0529375
dis=0.072975, v=0.9, a_actual=-200, time_point=0.053
dis=0.0730309, v=0.8875, a_actual=-200, time_point=0.0530625
dis=0.0730859, v=0.875, a_actual=-200, time_point=0.053125
dis=0.0731402, v=0.8625, a_actual=-200, time_point=0.0531875
dis=0.0731938, v=0.85, a_actual=-200, time_point=0.05325
dis=0.0732465, v=0.8375, a_actual=-200, time_point=0.0533125
dis=0.0732984, v=0.825, a_actual=-200, time_point=0.053375
dis=0.0733496, v=0.8125, a_actual=-200, time_point=0.0534375
dis=0.0734, v=0.8, a_actual=-200, time_point=0.0535
dis=0.0734496, v=0.7875, a_actual=-200, time_point=0.0535625
dis=0.0734984, v=0.775, a_actual=-200, time_point=0.053625
dis=0.0735465, v=0.7625, a_actual=-200, time_point=0.0536875
dis=0.0735938, v=0.75, a_actual=-200, time_point=0.05375
dis=0.0736402, v=0.7375, a_actual=-200, time_point=0.0538125
dis=0.0736859, v=0.725, a_actual=-200, time_point=0.053875
dis=0.0737309, v=0.7125, a_actual=-200, time_point=0.0539375
dis=0.073775, v=0.7, a_actual=-200, time_point=0.054
dis=0.0738184, v=0.6875, a_actual=-200, time_point=0.0540625
dis=0.0738609, v=0.675, a_actual=-200, time_point=0.054125
dis=0.0739027, v=0.6625, a_actual=-200, time_point=0.0541875
dis=0.0739438, v=0.65, a_actual=-200, time_point=0.05425
dis=0.073984, v=0.6375, a_actual=-200, time_point=0.0543125
dis=0.0740234, v=0.625, a_actual=-200, time_point=0.054375
dis=0.0740621, v=0.6125, a_actual=-200, time_point=0.0544375
dis=0.0741, v=0.6, a_actual=-200, time_point=0.0545
dis=0.0741371, v=0.5875, a_actual=-200, time_point=0.0545625
dis=0.0741734, v=0.575, a_actual=-200, time_point=0.054625
dis=0.074209, v=0.5625, a_actual=-200, time_point=0.0546875
dis=0.0742438, v=0.55, a_actual=-200, time_point=0.05475
dis=0.0742777, v=0.5375, a_actual=-200, time_point=0.0548125
dis=0.0743109, v=0.525, a_actual=-200, time_point=0.054875
dis=0.0743434, v=0.5125, a_actual=-200, time_point=0.0549375
dis=0.074375, v=0.5, a_actual=-200, time_point=0.055
dis=0.0744059, v=0.4875, a_actual=-200, time_point=0.0550625
dis=0.0744359, v=0.475, a_actual=-200, time_point=0.055125
dis=0.0744652, v=0.4625, a_actual=-200, time_point=0.0551875
dis=0.0744938, v=0.45, a_actual=-200, time_point=0.05525
dis=0.0745215, v=0.4375, a_actual=-200, time_point=0.0553125
dis=0.0745484, v=0.425, a_actual=-200, time_point=0.055375
dis=0.0745746, v=0.4125, a_actual=-200, time_point=0.0554375
dis=0.0746, v=0.4, a_actual=-200, time_point=0.0555
dis=0.0746246, v=0.3875, a_actual=-200, time_point=0.0555625
dis=0.0746484, v=0.375, a_actual=-200, time_point=0.055625
dis=0.0746715, v=0.3625, a_actual=-200, time_point=0.0556875
dis=0.0746938, v=0.35, a_actual=-200, time_point=0.05575
dis=0.0747152, v=0.3375, a_actual=-200, time_point=0.0558125
dis=0.0747359, v=0.325, a_actual=-200, time_point=0.055875
dis=0.0747559, v=0.3125, a_actual=-200, time_point=0.0559375
dis=0.074775, v=0.3, a_actual=-200, time_point=0.056
dis=0.0747934, v=0.2875, a_actual=-200, time_point=0.0560625
