dis=0, v=0, a_actual=200, time_point=0
x=5.44308, y=5.44308, z=-110.722
x=5.49173, y=5.49173, z=-111.121
x=5.54042, y=5.54042, z=-111.52
x=5.58914, y=5.58914, z=-111.92
x=5.6379, y=5.6379, z=-112.319
x=5.6867, y=5.6867, z=-112.718
x=5.73553, y=5.73553, z=-113.118
x=5.78439, y=5.78439, z=-113.517
x=5.83329, y=5.83329, z=-113.917
x=5.88223, y=5.88223, z=-114.316
x=5.93119, y=5.93119, z=-114.716
x=5.98019, y=5.98019, z=-115.115
x=6.02922, y=6.02922, z=-115.515
x=6.07828, y=6.07828, z=-115.914
x=6.12738, y=6.12738, z=-116.314
x=6.1765, y=6.1765, z=-116.713
x=6.22566, y=6.22566, z=-117.113
x=6.27484, y=6.27484, z=-117.512
x=6.32405, y=6.32405, z=-117.912
x=6.37329, y=6.37329, z=-118.312
x=6.42256, y=6.42256, z=-118.711
x=6.47186, y=6.47186, z=-119.111
x=6.52118, y=6.52118, z=-119.511
x=6.57053, y=6.57053, z=-119.91
x=6.6199, y=6.6199, z=-120.31
x=6.6693, y=6.6693, z=-120.71
x=6.71873, y=6.71873, z=-121.109
x=6.76818, y=6.76818, z=-121.509
x=6.81765, y=6.81765, z=-121.909
x=6.86714, y=6.86714, z=-122.309
x=6.91666, y=6.91666, z=-122.708
x=6.9662, y=6.9662, z=-123.108
x=7.01577, y=7.01577, z=-123.508
x=7.06535, y=7.06535, z=-123.908
x=7.11495, y=7.11495, z=-124.307
x=7.16458, y=7.16458, z=-124.707
x=7.21422, y=7.21422, z=-125.107
x=7.26388, y=7.26388, z=-125.507
x=7.31356, y=7.31356, z=-125.907
x=7.36326, y=7.36326, z=-126.307
x=7.41298, y=7.41298, z=-126.706
x=7.46271, y=7.46271, z=-127.106
x=7.51246, y=7.51246, z=-127.506
x=7.56223, y=7.56223, z=-127.906
x=7.61201, y=7.61201, z=-128.306
x=7.6618, y=7.6618, z=-128.706
x=7.71161, y=7.71161, z=-129.106
x=7.76144, y=7.76144, z=-129.506
x=7.81128, y=7.81128, z=-129.906
x=7.86113, y=7.86113, z=-130.306
x=7.91099, y=7.91099, z=-130.705
x=7.96086, y=7.96086, z=-131.105
x=8.01075, y=8.01075, z=-131.505
x=8.06064, y=8.06064, z=-131.905
x=8.11055, y=8.11055, z=-132.305
x=8.16046, y=8.16046, z=-132.705
x=8.21039, y=8.21039, z=-133.105
x=8.26032, y=8.26032, z=-133.505
x=8.31026, y=8.31026, z=-133.905
x=8.36021, y=8.36021, z=-134.305
x=8.41017, y=8.41017, z=-134.705
x=8.46013, y=8.46013, z=-135.105
x=8.5101, y=8.5101, z=-135.505
x=8.56007, y=8.56007, z=-135.905
x=8.61005, y=8.61005, z=-136.305
x=8.66004, y=8.66004, z=-136.705
x=8.71002, y=8.71002, z=-137.105
x=8.76001, y=8.76001, z=-137.505
x=8.81001, y=8.81001, z=-137.905
x=8.86, y=8.86, z=-138.305
x=8.91, y=8.91, z=-138.705
x=8.96, y=8.96, z=-139.105
x=9.01, y=9.01, z=-139.505
